N de inventario,N de intevención,fotografia,larvas,esqueletos,inciciones,tapones,link-fotografías,fecha finalizacion
3435,251,1,0.0,0.0,16.0,1.0,https://drive.google.com/open?id=1tAVY5_KqONIB_naunuKHhoCSWLWJmrfd&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,2021-12-02
3435,351,1,0.0,2.0,18.0,0.0,vacio,2022-11-29
3436,243,1,0.0,0.0,11.0,1.0,,2021-11-16
3436,381,1,0.0,1.0,14.0,0.0,vacio,2023-02-13
3437,246,1,0.0,0.0,26.0,0.0,,2021-11-12
3438,331,1,0.0,0.0,3.0,0.0,vacio,2022-10-26
3514,292,1,,,50.0,3.0,,2021-12-28
4379,224,1,0.0,0.0,10.0,0.0,,2021-11-12
4379,437,1,0.0,1.0,76.0,0.0,vacio,2023-03-14
5135,345,1,0.0,0.0,11.0,0.0,vacio,2022-11-03
5135,333,1,0.0,0.0,11.0,0.0,vacio,2022-10-26
5135,332,1,0.0,0.0,10.0,0.0,vacio,2020-01-07
5255,400,1,0.0,0.0,13.0,0.0,vacio,2023-03-08
5255,210,1,0.0,0.0,13.0,0.0,,2021-11-10
5256,403,1,0.0,0.0,3.0,0.0,vacio,2023-03-08
5256,209,1,0.0,0.0,3.0,0.0,,2021-11-11
5260,211,1,0.0,0.0,13.0,0.0,,2021-11-10
5260,355,1,0.0,0.0,13.0,0.0,vacio,2022-12-12
5262,393,1,0.0,0.0,6.0,0.0,vacio,2023-02-16
5262,207,1,0.0,0.0,6.0,0.0,,2021-11-11
5263,388,1,0.0,0.0,4.0,0.0,vacio,
5263,272,1,0.0,0.0,4.0,0.0,,2021-11-24
5264,208,1,,,3.0,,,2021-11-10
5268,198,0,0.0,,1.0,,,2021-08-19
5269,339,1,0.0,0.0,4.0,0.0,vacio,2022-11-25
5269,254,1,0.0,0.0,4.0,0.0,,2021-11-23
5281,245,1,0.0,0.0,31.0,0.0,,2021-11-12
5281,373,1,1.0,0.0,31.0,0.0,vacio,2023-02-09
5286,234,1,0.0,0.0,5.0,0.0,,2021-11-16
5286,385,1,0.0,0.0,5.0,0.0,vacio,2023-02-13
5289,236,1,0.0,0.0,15.0,0.0,,2021-11-16
5289,375,1,0.0,0.0,15.0,0.0,vacio,2023-02-09
5294,422,1,0.0,0.0,44.0,0.0,vacio,2023-03-13
5294,249,1,0.0,0.0,83.0,0.0,,2021-12-02
5294,389,1,1.0,1.0,89.0,4.0,vacio,2023-02-16
5295,250,1,,,185.0,5.0,,2021-12-02
5295,419,1,6.0,34.0,235.0,7.0,vacio,2023-03-10
5300,242,1,0.0,0.0,6.0,0.0,,2021-11-16
5300,382,1,0.0,0.0,6.0,0.0,vacio,2023-02-13
5301,386,1,0.0,0.0,12.0,0.0,vacio,2023-02-13
5301,241,1,0.0,0.0,12.0,0.0,,2021-11-16
5304,239,1,0.0,0.0,10.0,0.0,,2021-11-16
5304,379,1,0.0,0.0,10.0,0.0,vacio,2023-02-13
5305,259,1,0.0,0.0,52.0,0.0,https://drive.google.com/open?id=1t89qOPFKkLacJn08Tqi25eIbAGOuhnR3&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,2021-12-03
5305,352,1,0.0,2.0,55.0,0.0,vacio,2022-11-29
5307,268,1,,,869.0,15.0,,2021-12-02
5307,360,1,8.0,2.0,713.0,5.0,vacio,2023-02-03
5310,260,1,0.0,0.0,47.0,0.0,https://drive.google.com/open?id=1tcGOaUx44BWTrl1B0TAOgx-megwxiqv6&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,2021-11-29
5310,350,1,0.0,0.0,47.0,0.0,vacio,2022-11-29
5311,380,1,1.0,1.0,20.0,2.0,vacio,2023-02-13
5311,237,1,0.0,0.0,16.0,0.0,,2021-11-16
5313,235,1,0.0,0.0,20.0,0.0,,2021-11-16
5313,387,1,1.0,3.0,24.0,0.0,vacio,2023-02-14
5315,240,1,0.0,0.0,25.0,0.0,,2021-11-12
5315,378,1,2.0,4.0,33.0,1.0,vacio,2023-02-09
5318,248,1,0.0,0.0,8.0,0.0,,2021-11-12
5318,372,1,0.0,0.0,5.0,0.0,vacio,2023-02-08
5324,376,1,0.0,0.0,9.0,0.0,vacio,2023-02-09
5324,247,1,0.0,0.0,9.0,0.0,,2021-11-16
5326,377,1,0.0,3.0,42.0,1.0,vacio,2023-02-09
5326,316,1,0.0,0.0,40.0,3.0,,2022-08-23
5327,384,1,0.0,2.0,7.0,0.0,vacio,2023-02-13
5327,238,1,0.0,0.0,7.0,0.0,,2021-11-12
5328,362,1,0.0,0.0,4.0,0.0,vacio,2023-02-03
5328,267,1,0.0,0.0,4.0,0.0,,2021-11-30
5329,261,1,0.0,0.0,5.0,0.0,https://drive.google.com/open?id=1t6li1SrlZdKDlkybcqnuWwOb3CePt2He&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,2021-11-30
